"ti_a1";"tf_a1";"ti_a2";"tf_a2";"ti_a3";"tf_a3"
"2015-11-03 18:22:59.053-02";"2015-11-03 18:23:00.091-02";"2015-11-03 18:23:05.506-02";"2015-11-03 18:23:06.542-02";"2015-11-03 18:23:11.834-02";"2015-11-03 18:23:12.851-02"
"2015-11-03 18:22:55.845-02";"2015-11-03 18:22:57.007-02";"2015-11-03 18:23:02.421-02";"2015-11-03 18:23:03.46-02";"2015-11-03 18:23:08.685-02";"2015-11-03 18:23:09.768-02"
"2015-11-03 18:22:55.952-02";"2015-11-03 18:22:56.998-02";"2015-11-03 18:23:02.568-02";"2015-11-03 18:23:03.587-02";"2015-11-03 18:23:08.754-02";"2015-11-03 18:23:09.783-02"
"2015-11-03 18:22:59.057-02";"2015-11-03 18:23:00.104-02";"2015-11-03 18:23:05.547-02";"2015-11-03 18:23:06.573-02";"2015-11-03 18:23:11.841-02";"2015-11-03 18:23:12.859-02"
"2015-11-03 19:34:36.734-02";"2015-11-03 19:34:37.864-02";"2015-11-03 19:34:49.545-02";"2015-11-03 19:34:50.588-02";"2015-11-03 19:35:01.987-02";"2015-11-03 19:35:03.044-02"
"2015-11-03 19:34:36.784-02";"2015-11-03 19:34:37.864-02";"2015-11-03 19:34:49.551-02";"2015-11-03 19:34:50.588-02";"2015-11-03 19:35:01.987-02";"2015-11-03 19:35:03.043-02"
"2015-11-03 19:34:36.788-02";"2015-11-03 19:34:37.864-02";"2015-11-03 19:34:49.597-02";"2015-11-03 19:34:50.626-02";"2015-11-03 19:35:01.987-02";"2015-11-03 19:35:03.043-02"
"2015-11-03 19:34:36.83-02";"2015-11-03 19:34:37.867-02";"2015-11-03 19:34:49.613-02";"2015-11-03 19:34:50.66-02";"2015-11-03 19:35:02.016-02";"2015-11-03 19:35:03.043-02"
"2015-11-03 19:34:36.838-02";"2015-11-03 19:34:37.904-02";"2015-11-03 19:34:49.655-02";"2015-11-03 19:34:50.676-02";"2015-11-03 19:35:02.03-02";"2015-11-03 19:35:03.056-02"
"2015-11-03 19:34:42.96-02";"2015-11-03 19:34:44.252-02";"2015-11-03 19:34:55.649-02";"2015-11-03 19:34:56.688-02";"2015-11-03 19:35:08.136-02";"2015-11-03 19:35:09.179-02"
